id,people_name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
frK2-80WEBPA0g0YAP_jcA,Daniela,20,2015-11-21 13:10:47,5,0,6,,0,4.09,0,0,0,0,0,0,0,0,0,0,0
1Va9eT5zW2hbC9iEWva_CA,Sarah,81,2013-08-05 01:59:41,78,18,17,2021,1,3.89,0,0,0,0,0,4,3,0,0,0,3
wfyc237lSkLUDy059-vejQ,Brenda,28,2013-02-17 17:47:09,31,7,1,,0,4.4,0,0,0,0,0,0,1,0,0,0,0
jAS2-uC1MxkYjXL-QMDsOg,Paul,27,2016-05-06 13:17:46,27,14,8,,0,3.23,0,0,0,0,0,2,0,0,0,0,1
y-rTHv87cy-M5fd0UyNlFQ,Vivian,22,2016-07-23 15:01:22,22,2,3,,0,3.33,1,0,0,0,0,0,0,0,0,0,0
jyJ632IBakzSiAciyfutBw,Nick,59,2008-08-24 16:49:44,61,19,10,,0,2.73,0,1,0,0,0,0,0,0,0,0,0
70OyJY2myYaRr7dhTaq8kA,Jena,13,2014-01-02 16:41:10,3,1,1,,0,4.38,0,0,0,0,0,0,0,0,0,0,0
UrY-jqh5gSCt-jPfuQodyg,Ken,88,2012-05-23 01:03:58,47,9,16,,1,3.17,0,0,0,0,0,3,4,0,0,0,1
6AGvafGH6q6x5yQnHIQwHQ,Justene,18,2013-05-11 19:19:56,3,3,1,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
EajyKKw3OilLbhSsvRp6jw,Holli,14,2016-05-21 05:34:53,12,3,0,,0,3.67,0,0,0,0,0,1,0,0,0,0,0
36CXeoiar-OlppQmY5iUGg,Jacob,15,2017-06-27 16:18:25,10,2,4,,0,4.38,0,0,0,0,0,0,0,0,0,0,0
JOLMJQXMWjS_y013RFhaiQ,Al,379,2011-11-08 05:55:17,645,213,132,,17,3.61,0,2,0,0,0,15,16,5,5,4,1
shoFkasib1MtqWdU9MUnvA,Grace,41,2016-02-13 12:20:27,13,1,0,,0,4.61,0,0,0,0,0,0,0,0,0,1,0
PWJoruub1EPOA8cahnbmvg,Ted,6,2012-09-08 21:53:17,2,0,0,,0,4.43,0,0,0,0,0,0,0,0,0,0,0
6WqSakMBfLDGLe5B3iL4BA,John,9,2011-09-04 03:01:36,1,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
fsU-wdenu6UDRuWJB3kmyA,Laney,32,2010-08-14 03:00:13,27,4,3,,0,3.45,0,0,0,0,0,0,0,0,0,1,0
WXMuYVbQT7hJqUi3Im_zjA,Herb,16,2013-09-29 22:35:17,5,6,0,,0,3.21,0,0,0,0,0,1,0,0,0,0,0
Ov2SonOP_EOpkGhhwxVC6w,Ana,146,2016-04-26 01:57:04,32,10,10,,0,4.37,0,1,0,0,0,1,1,0,0,0,0
SMo0T8U1oNPg4yZRJaijBg,J,7,2017-02-22 12:19:00,0,0,1,,0,4.14,0,0,0,0,0,0,0,0,0,0,0
bCUUZ9_qRhXgRK-MITIweg,Kevin,23,2013-08-05 01:32:22,31,3,1,,0,3.13,0,0,0,0,0,0,0,0,0,0,0
-EzggOfDkyVo-1KdOIzslQ,Bruce,27,2012-03-22 13:37:30,41,9,15,,0,4.93,0,0,0,0,0,0,1,0,0,0,1
yTr2TnWnYQYFSjcGO3gbbg,Colleen,24,2014-04-10 14:40:07,18,0,2,,0,3.15,0,0,0,0,0,0,1,0,0,0,0
w7Jm2lsb9abkQkDlnkOc-A,Doug,77,2009-08-24 21:27:32,115,33,5,,0,2.69,0,0,0,0,0,3,1,0,0,0,0
-A5TReOnanFXH0t4ko3cTQ,Joan,24,2017-02-16 13:39:14,12,3,1,,0,3.81,0,0,0,0,0,0,0,0,0,0,0
f0iFs8GGMdxeHvmzTmPMUA,Thomas,7,2012-07-04 21:47:00,2,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
y3qozXY80ugSPCSEIa7XFA,Lisa,33,2012-08-22 22:29:45,45,6,4,,0,3.94,0,0,0,0,0,0,1,0,0,0,0
JtvWtlZ5GzyTyRnON_ncEw,Ray,45,2015-11-17 22:18:58,10,1,1,,0,3.67,0,0,0,0,0,0,0,0,0,0,0
XLuU7EmyR9sAiRWTTNSQkQ,Chris,26,2012-12-19 17:16:07,13,3,2,,0,3.26,0,0,0,0,0,0,0,0,0,0,0
cB2I_QijhAuPOv5eHjZumQ,Marni,6,2008-09-16 15:26:35,9,0,1,,0,4.5,0,0,0,0,0,1,1,0,0,0,0
Lmam0jm8EReVm2EAArkjfQ,Purvil,11,2014-09-11 23:42:08,7,1,0,,0,2.46,0,0,0,0,0,0,0,0,0,0,0
Beizkox7xCrio08NHdp3gw,Don,118,2013-07-22 23:19:03,48,12,9,,0,3.6,0,0,0,0,0,1,1,0,0,0,0
GFvRSAE6-3fFbSzDoJlkPA,Nathan,51,2016-06-30 18:55:18,37,12,7,,0,3.05,0,0,0,0,0,0,0,0,0,1,0
csSwqB6hAKRWa50HSDRwDg,Bethany,5,2016-04-20 16:01:31,5,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
BNKwpze_HDmShffe4WqN4A,Stephanie,23,2009-08-01 16:50:13,10,1,2,,0,4.46,0,0,0,0,0,1,0,0,0,0,0
N3s80q4Lni5Recj9dHyIbw,Cassandra,10,2013-10-15 01:28:56,8,0,0,,0,3.55,0,0,0,0,0,0,0,0,0,0,0
2Ue5kCAh0qsaSBWe2-mg7Q,Kelly,13,2018-03-06 16:13:22,4,0,0,,0,4.31,0,0,0,0,0,0,0,0,0,0,0
6dwzYxpVGDYorLrI2xHFAQ,Renata,6,2014-10-26 04:55:17,3,0,0,,0,3.83,0,0,0,0,0,0,0,0,0,0,0
N0inGRa7JtVeOdoGuv1iOg,Amanda,7,2015-08-24 01:26:19,4,0,1,,0,5.0,0,0,0,0,0,0,1,0,0,0,0
F0BxIYqtBwfDVwm7mJfnew,Greg,83,2011-02-19 19:00:07,113,20,5,,1,2.88,0,1,0,0,0,2,0,0,0,0,0
xjbDJgEBqKVtjxlYKotswg,Tray,3,2011-05-28 14:56:55,7,0,0,,0,2.67,0,0,0,0,0,0,0,0,0,0,0
MBvy3glGUhC92iytJ9K-5A,Ash,16,2012-03-15 23:04:48,15,1,0,,0,4.11,0,0,0,0,0,0,0,0,0,0,0
kUVDZiJjatmHKGEjTr1V7g,Steve,117,2012-04-18 23:43:26,61,7,16,,0,4.3,0,1,0,0,0,1,0,4,4,1,0
LDqIvMs_JPns7ItfOwoPVQ,Bri,18,2017-01-06 20:01:51,5,2,0,,0,2.39,0,0,0,0,0,0,0,0,0,0,0
A9md-211q6BWlSn5EkTwJw,Blair,20,2012-09-15 02:01:21,3,4,1,,0,4.36,0,0,0,0,0,0,0,0,0,0,0
bHipv3na2WLXaRNKcc9YQw,Carlota,6,2016-08-02 23:53:36,3,4,0,,0,2.67,0,0,0,0,0,0,0,0,0,0,0
enKmoFBM88M_yvT9A7CiiA,Nina,5,2015-02-01 16:43:22,10,0,1,,0,4.2,0,0,0,0,0,0,0,0,0,0,0
NsbR5YQNXsLvZXH6voqpPw,Jonathan,15,2014-07-11 22:50:42,8,6,3,,0,3.06,0,0,0,0,0,1,0,0,0,0,1
9nCRW9Uj00i7IvJb4sqWsQ,Celeste,47,2014-04-20 20:40:21,44,11,2,,0,2.98,0,0,0,0,0,2,0,0,0,0,0
HgMqStZ1tS8X6vNabaLqfw,John,4,2015-06-18 19:44:47,10,0,3,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
b0FAti_Ngf1FPTBDA3jcww,Julia,16,2011-07-11 19:53:49,8,1,0,,0,3.59,0,0,0,0,0,0,0,0,0,0,0
9U7cPas2fkCivzTC5ph8Fw,Christine,62,2011-08-07 23:35:02,23,4,1,,0,3.18,0,0,0,0,0,0,0,0,0,0,0
NkMEXcaG_BgCmPoEi6o-3A,Michael,107,2011-06-29 16:47:36,102,14,25,,0,3.54,0,0,0,0,0,1,3,2,2,0,1
OepF2bxE_ERY515dWvmtDQ,Rich,6,2016-01-22 22:01:45,3,0,0,,0,4.83,0,0,0,0,0,0,0,0,0,0,0
kik6AlFgMEUx4zBXHEYg0g,J,25,2013-02-21 01:57:06,28,9,4,,0,3.36,0,1,0,0,0,1,1,0,0,0,0
tizODWDUJ1o2aFtXTa90sA,David,18,2010-12-05 18:57:33,6,1,3,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
Vbq3eLE1QXsXXLn0NXe1dg,Chris,16,2012-07-23 15:19:47,11,3,4,,0,2.81,0,0,0,0,0,0,0,0,0,0,0
qWwSncMDz5hg9zGJ9ve1UQ,John,19,2012-05-31 11:02:53,27,6,1,,0,2.9,0,0,0,0,0,0,0,0,0,0,0
9lrnYSMdL7Wf-9I-o6aUaA,Sherri,6,2015-06-05 17:24:07,6,0,1,,0,4.67,0,0,0,0,0,0,0,0,0,0,0
Y0aFaTGmNQIQ7pje5kt5Dg,Bev,24,2017-05-03 15:29:10,22,1,2,,0,2.87,0,0,0,0,0,1,0,0,0,0,0
dJnCcW_dFZ8SeU2HtqkuHQ,Pat,179,2011-09-24 19:08:22,81,23,8,,3,2.87,0,0,0,0,0,2,0,0,0,0,0
Weqah32BMQO0BmexQAfYEQ,K,29,2015-07-28 05:30:44,11,1,1,,0,4.38,0,1,0,0,0,0,0,0,0,1,0
wA1saAP4RIbKrJ9YJbtQyg,Carole,5,2017-08-09 22:18:52,1,0,0,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
7Sv-npFRXSTg9nre11-Vxg,Cochon,55,2009-05-17 18:44:27,132,28,27,,3,3.82,0,1,0,0,0,5,3,1,1,0,0
a8owUiLR8-nRixYQDdx-HQ,D,45,2010-01-30 14:02:11,59,6,3,,3,2.33,0,0,0,0,0,1,1,0,0,0,0
ucmrBxvh-HkjK7sp0793Vw,Kira,8,2014-05-01 21:58:45,12,3,0,,0,3.38,0,0,0,0,0,0,0,0,0,1,0
QO4ILkRbw-C3GRFlVgf3oQ,Megan,6,2016-02-03 16:07:01,2,0,0,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
wpRRWnHpqQMMTC8Pir8Ltw,Rockit,16,2013-07-17 15:59:00,4,1,5,,0,5.0,0,0,0,0,0,0,2,0,0,0,0
xqWgIpVyEkj9KSKuoxqc2Q,Meghan,5,2009-12-07 13:19:04,7,0,1,,0,3.6,0,0,0,0,0,0,0,0,0,0,0
MtHD0Wdh4FtbyFJCb4yfUQ,Alexandra,605,2010-04-07 21:33:03,9417,5933,8251,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",145,4.09,5483,1804,3325,1480,1319,2567,5855,6581,6581,4200,5683
B5bHqJfM3fG3HA0NHXj_xw,April,12,2012-09-08 16:58:11,15,1,1,,1,4.17,0,0,0,0,0,0,0,0,0,0,0
pMzJahsE0G7JG2F7Z0iBFA,Melinda,66,2012-09-01 17:30:55,80,6,11,,1,4.28,1,0,0,0,0,1,1,2,2,0,0
IK_DwNxedVYqA_jjjZj05w,Jeff,7,2013-06-14 00:32:01,7,5,2,,1,3.5,2,0,0,0,0,0,0,0,0,0,0
DXJ3XqEsOPuXx-nQdWgRLQ,Kat,7,2012-05-22 00:18:37,6,2,0,,0,2.22,0,0,0,0,0,0,0,0,0,0,0
qtN8WNigP_KgmV4AJonu4A,Vanessa,7,2013-02-23 03:15:53,10,0,2,,0,4.25,0,0,0,0,0,0,0,0,0,0,0
SmXK0xM_yCX67zxOxCNp6Q,Melissa,67,2009-09-12 04:38:25,39,7,10,,3,4.22,0,0,0,0,0,0,2,0,0,1,1
bHB-cDviPZcFKb5m9CAyEA,Diane,4,2012-03-10 22:09:17,2,0,1,,0,4.25,0,0,0,0,0,0,0,0,0,0,0
DVOU5eEmVwug8Jbf7G7_Dw,Tracy,82,2012-08-26 15:10:34,51,14,26,,1,4.49,0,0,0,0,0,3,0,0,0,1,4
U_buCjdNdLgw9Y55LLm3Jg,Frank,13,2013-06-19 18:24:14,1,0,0,,0,4.69,0,0,0,0,0,0,0,0,0,0,0
