id,people_name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
9W5o1uCqYH8uXs0aeC0gng,Nataura,7,2019-08-08 22:22:06,1,1,0,,0,3.88,0,0,0,0,0,0,0,0,0,0,0
IQsWpHccX7I6giIGbGx7GQ,Candace,10,2016-08-27 01:38:59,1,1,0,,0,1.8,0,0,0,0,0,0,0,0,0,0,0
YFxFTn8xUXkl-zhqlESMBw,Sharon,8,2019-04-25 22:08:11,2,1,0,,0,3.75,0,0,0,0,0,0,0,0,0,0,0
bEWmzGhxzOT0RZSadlzbog,K,42,2016-04-22 13:42:15,17,0,1,,0,4.23,2,0,0,0,0,0,1,0,0,0,0
DesdS3JFnf2eHfJd7qAiPw,Mr,15,2011-07-31 16:22:48,32,3,9,,1,3.07,0,0,0,0,0,0,0,0,0,0,0
NW4aI5nz9blcboQNngMDYA,Jacenta,3,2010-08-22 03:06:27,16,4,4,,0,3.67,0,0,0,0,0,0,1,0,0,1,0
ROdQcyL8H7BnK0h3-cG9BQ,Raychel,16,2013-09-06 00:34:22,41,17,5,,1,2.14,0,0,0,0,0,0,1,0,0,0,0
x21qazD-sSJKNX7y0zSWOg,R3D The Army,5,2018-07-10 18:51:49,0,1,2,,0,3.6,0,0,0,0,0,0,0,0,0,0,0
29aKnf4_uYRZhcKe0VmCUg,D'Erikka,18,2014-08-17 02:23:47,6,1,0,,0,2.67,0,0,0,0,0,0,0,0,0,0,0
t1laGFTiJtDaGFnA9clYPA,Derin,6,2014-06-16 02:42:16,11,1,2,,0,1.83,0,0,0,0,0,0,1,1,1,0,0
xlgssuC3d-IN2-jfXfwm5A,Melissa,10,2018-04-07 18:07:28,3,0,0,,0,3.9,0,0,0,0,0,0,0,0,0,0,0
h3S3vzF8H5VmPNUzfPLCag,Carrie,25,2016-01-09 03:46:14,25,5,4,,0,3.33,0,0,0,0,0,0,1,0,0,0,0
8NAN_3kWzNtvXFR01voVbw,Naye',5,2017-03-05 18:00:07,6,1,0,,0,2.2,0,0,0,0,0,0,0,0,0,0,0
z7NnbVwYPe3olm_UBRn14A,Jasmine,2,2017-05-18 22:14:26,3,1,0,,0,2.5,0,0,0,0,0,0,0,0,0,0,0
PqfxWMsJav8tE5YOiz1xwQ,Rhonda,2,2020-02-15 23:42:24,2,1,0,,0,2.0,0,0,0,0,0,0,0,0,0,0,0
qBaEKpXuVSWjbeqnU8Brbw,Latisha,5,2016-09-06 02:09:18,14,1,1,,0,2.0,0,1,0,0,0,0,1,0,0,0,0
wqi3BU5MJPYp4wFXBRnrgg,Mr.,20,2015-10-06 15:57:16,9,2,2,,0,1.74,0,0,0,0,0,0,0,0,0,0,0
ACTPdn2LptJs-_h2otioZg,Jolene,7,2017-06-01 02:53:27,3,1,2,,0,3.71,0,0,0,0,0,0,0,0,0,0,0
Bb7DZTdEXDX-UmYeaAbtqQ,Heather,11,2017-03-09 02:18:26,1,0,0,,0,2.92,0,0,0,0,0,0,0,0,0,0,0
LPcgvhiZYoPF60YbG2TcvA,Tina,4,2011-03-21 01:53:20,1,2,0,,4,4.5,0,1,1,0,0,1,0,0,0,0,0
Wnuy1CGp4KCkaR9OY8QKjA,Justin,2,2020-01-29 06:32:24,0,0,0,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
cGqZLdsU16J_UM-X5BsR2w,Shelley,9,2019-06-16 14:27:09,0,1,0,,0,1.89,0,0,0,0,0,0,0,0,0,0,0
mNYpkSBZATDyKMbDEDyoOA,Jon,5,2014-01-03 18:42:01,4,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
vHsb8W0HLgd30wcvmBOdHw,Alex,28,2013-02-08 03:43:37,22,5,0,,0,2.59,0,0,0,0,0,1,0,0,0,0,0
QPS9NVkBuSuHjK3cTLbyMw,Kevin,3,2010-03-13 16:28:34,3,0,0,,1,3.67,0,0,0,0,0,1,1,0,0,0,0
HnziyG9F5PxAscAgrbaqOA,Brad,1,2011-11-21 23:02:46,0,0,0,,0,3.0,0,0,0,0,0,0,0,0,0,0,0
e15MFHa46RwR4J7hQFNeQQ,Jeff,3,2010-09-02 20:54:39,0,0,0,,0,4.33,0,1,0,0,0,0,0,0,0,0,0
RQTultuEFCaxLmCbsE6IPQ,Phelesa,3,2018-12-22 14:22:57,1,0,0,,0,2.33,0,0,0,0,0,0,0,0,0,0,0
-30fJcjN-e653dEhZjDbfw,Krista,1,2020-08-15 01:15:28,0,1,0,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
zn-LZYcMOarOsaV0iDSbpQ,LaDonna,1,2013-02-08 17:10:27,1,0,1,,0,2.0,0,0,0,0,0,0,0,0,0,0,0
